,user_id,item_id,review_date,rented for,category,size,fit,height_inches,weight,age,rating
0,1,2545,2017-08-22,2,62,20,1,9,62,15,5
1,1,3166,2017-08-22,2,15,20,3,9,62,15,5
2,1,3862,2017-10-02,2,39,20,1,9,62,15,5
3,1,3792,2017-10-22,2,62,14,1,9,62,15,5
4,1,26,2017-10-29,5,17,20,1,9,62,15,5
5,1,3957,2017-10-29,5,59,20,2,9,62,15,4
6,1,2304,2017-11-19,8,2,20,1,9,62,15,5
7,1,3184,2017-11-19,2,62,14,1,9,62,15,4
8,1,4098,2017-11-19,8,39,16,2,9,62,15,5
9,1,2114,2017-12-30,8,62,20,1,9,62,15,5
10,1,2672,2017-12-30,2,62,20,1,9,62,15,5
11,1,2926,2017-12-30,8,62,14,1,9,62,15,5
12,1,2936,2017-12-30,2,11,20,1,9,62,15,5
13,1,3060,2017-12-30,2,11,12,2,9,62,15,5
14,1,3228,2017-12-30,8,15,23,2,9,62,15,5
15,1,4064,2017-12-30,4,39,14,2,9,62,15,5
16,2,174,2017-01-02,5,17,5,1,9,22,25,4
17,2,4470,2017-01-02,5,17,5,1,9,22,25,5
18,2,3485,2017-01-24,5,45,9,1,9,22,25,5
19,2,4333,2017-08-16,8,17,9,1,9,22,25,5
20,2,108,2017-09-04,5,17,9,1,9,22,25,5
21,2,3053,2017-09-04,5,46,5,1,9,22,25,5
22,2,4690,2017-09-04,5,17,5,1,9,22,25,5
23,2,2320,2017-10-07,2,62,9,2,9,22,25,5
24,2,2128,2017-11-12,6,40,5,1,9,22,25,5
25,2,2180,2017-12-18,5,39,5,2,9,22,25,3
26,3,519,2014-04-28,3,21,9,1,9,47,18,4
27,3,5250,2014-09-20,7,17,12,1,9,47,18,5
28,3,1459,2014-10-21,7,46,9,1,9,47,18,5
29,3,4825,2014-11-12,3,21,9,1,9,47,18,5
30,3,2503,2015-07-10,7,21,9,1,9,47,18,5
31,3,5205,2015-12-16,7,17,9,1,9,47,18,5
32,4,1727,2013-06-10,4,17,9,1,13,57,13,4
33,4,766,2013-11-17,7,46,9,1,13,57,13,4
34,4,1448,2014-12-23,5,17,9,1,13,57,13,4
35,4,571,2015-11-21,7,17,9,1,13,57,13,3
36,4,1005,2015-11-21,7,17,12,2,13,57,13,5
37,4,3931,2017-10-19,7,17,23,1,13,57,13,5
38,4,4135,2017-10-19,5,62,20,1,13,57,13,3
39,4,3110,2017-11-06,8,2,23,3,13,57,13,4
40,5,1394,2015-03-06,7,35,9,1,11,42,15,5
41,5,5370,2016-04-25,2,17,9,3,11,42,15,4
42,5,2887,2016-04-26,4,27,12,1,11,42,15,5
43,5,3239,2016-05-03,1,45,12,1,11,42,15,5
44,5,4261,2016-05-16,2,17,12,3,11,42,15,3
45,5,2675,2016-06-15,2,62,14,1,11,42,15,5
46,5,2913,2017-03-27,2,50,14,3,11,42,15,3
47,5,3501,2017-03-27,2,33,12,1,11,42,15,4
48,5,3703,2017-03-27,1,62,14,1,11,42,15,5
49,5,2120,2017-04-21,2,54,9,1,11,42,15,3
50,5,4049,2017-04-21,5,27,12,2,11,42,15,3
51,6,748,2015-02-06,5,17,23,3,6,47,31,4
52,6,1621,2015-06-11,7,46,23,3,6,47,31,4
53,6,1150,2015-07-01,7,46,20,1,6,47,31,5
54,6,1966,2015-07-01,5,17,20,1,6,47,31,3
55,6,1535,2016-10-12,3,17,20,1,6,47,31,4
56,6,826,2017-10-16,5,17,16,1,6,47,31,3
57,7,834,2016-04-13,3,21,11,1,7,57,14,5
58,7,656,2016-05-03,3,21,11,1,7,57,14,3
59,7,1545,2017-05-02,1,17,16,1,7,57,14,5
60,7,5174,2017-05-03,2,17,16,1,7,57,14,5
61,7,277,2017-05-15,6,17,14,1,7,57,14,5
62,7,1166,2017-06-05,1,46,20,3,7,57,14,5
63,7,1079,2017-06-19,1,17,16,1,7,57,14,5
64,7,1269,2017-09-12,8,46,14,1,7,57,14,2
65,8,1627,2017-03-10,3,17,5,3,12,27,14,5
66,8,4194,2017-03-10,7,21,5,1,12,27,14,5
67,8,4154,2017-06-01,5,17,5,1,12,27,14,5
68,8,48,2017-07-26,7,46,5,1,12,27,14,5
69,8,2035,2017-07-26,8,17,5,3,12,27,14,4
70,8,1653,2017-08-16,8,47,5,2,12,27,14,4
71,8,493,2017-11-20,3,17,5,1,12,27,14,5
72,8,1101,2017-11-20,8,17,5,1,12,27,14,5
73,8,3726,2017-11-20,8,17,5,1,12,27,14,4
74,8,4488,2017-11-20,7,46,5,1,12,27,14,5
75,8,4653,2017-11-20,8,17,5,1,12,27,14,5
76,8,4700,2017-11-20,1,17,5,1,12,27,14,5
77,8,5412,2017-11-20,7,21,5,3,12,27,14,5
78,8,2176,2017-12-26,2,10,5,1,12,27,14,5
