,user_id,item_id,rating
0,1,2545,5
1,1,3166,5
2,1,3862,5
3,1,3792,5
4,1,26,5
5,1,3957,4
6,1,2304,5
7,1,3184,4
8,1,4098,5
9,1,2114,5
10,1,2672,5
11,1,2926,5
12,1,2936,5
13,1,3060,5
14,2,174,4
15,2,4470,5
16,2,3485,5
17,2,4333,5
18,2,108,5
19,2,3053,5
20,2,4690,5
21,2,2320,5
22,3,519,4
23,3,5250,5
24,3,1459,5
25,3,4825,5
26,4,1727,4
27,4,766,4
28,4,1448,4
29,4,571,3
30,4,1005,5
31,4,3931,5
32,5,1394,5
33,5,5370,4
34,5,2887,5
35,5,3239,5
36,5,4261,3
37,5,2675,5
38,5,2913,3
39,5,3501,4
40,5,3703,5
41,6,748,4
42,6,1621,4
43,6,1150,5
44,6,1966,3
45,7,834,5
46,7,656,3
47,7,1545,5
48,7,5174,5
49,7,277,5
50,7,1166,5
51,8,1627,5
52,8,4194,5
53,8,4154,5
54,8,48,5
55,8,2035,4
56,8,1653,4
57,8,493,5
58,8,1101,5
59,8,3726,4
60,8,4488,5
61,8,4653,5
62,8,4700,5
63,8,5412,5
64,9,1137,5
65,9,1721,5
66,9,5490,5
67,9,1535,5
68,10,957,5
69,10,460,4
70,10,4279,4
71,10,2100,4
72,11,1961,5
73,11,4640,4
74,11,4925,5
75,11,126,5
76,11,4245,4
77,11,595,5
78,11,69,5
79,11,2451,4
80,11,3484,4
81,11,104,5
82,11,2085,5
83,12,1197,3
84,12,5356,5
85,12,1909,5
86,12,2378,5
87,12,2383,5
88,12,3675,4
89,13,1710,5
90,13,2513,4
91,13,4967,3
92,13,5111,4
93,13,5128,3
94,14,1299,5
95,14,5252,5
96,14,1404,5
97,14,242,5
98,15,1328,5
99,15,1057,4
100,15,4625,5
101,15,2135,5
102,15,3869,5
103,15,4840,5
104,16,588,5
105,16,1667,4
106,16,3730,5
107,16,1197,4
108,16,4505,5
109,16,4255,5
110,17,5445,4
111,17,2051,4
112,17,4179,3
113,17,4652,5
114,18,1152,4
115,18,2608,3
116,18,667,5
117,19,957,4
118,19,5029,3
119,19,1044,4
120,19,1495,5
121,20,2017,4
122,20,4288,5
123,20,1564,4
124,20,2487,5
125,21,15,3
